deu-enh,eng,warning,Qid_detail
ess loffele,eating spoon,,Q2002583
esze,ash,,Q152079
eyer schaln,eggshell,,Q2731253
eysnen loffel,iron spoon,,Q107272867
eysnen loffl,iron spoon,,Q107272867
faden,thread,,Q1391831
fadenn,thread,,Q1391831
faedern,feather,,Q81025
faeslin,barrel,,Q10289
faesslein,barrel,,Q10289
faesslin,barrel,,Q10289
faeßlin,barrel,,Q10289
farb tuch,ink cloth,,Q0
fas,barrel,,Q10289
fassel,barrel,,Q10289
faym loffel,skimmer,,Q388428
faymloeffl,skimmer,,Q388428
faz,barrel,,Q10289
feddernn,feather,,Q81025
feder,feather,,Q81025
feder kill,nib,,Q14524064
feir,ember,,Q177257
ferwr,ember,,Q177257
feslin,barrel,,Q10289
fessel,barrel,,Q10289
fesselein,barrel,,Q10289
fesslein,barrel,,Q10289
feue,ember,,Q177257
feuer,ember,,Q177257
feur,ember,,Q177257
feurlin,ember,,Q177257
fevr,ember,,Q177257
fewer,ember,,Q177257
feweer,ember,,Q177257
fewere,ember,,Q177257
fewerr,ember,,Q177257
fewr,ember,,Q177257
fewre,ember,,Q177257
fewrerr,ember,,Q177257
fewrr,ember,,Q177257
fiuer,ember,,Q177257
flech,unsolved,,Q0
foerm gesnytenn in czway holcz rebhuner gestallt,partridge mold,,Q107272868
form,mold,,Q1941820
forme,mold,,Q1941820
formen,mold,,Q1941820
formm,casserole,,Q63436240
fueer,ember,warningKONTEXT,Q177257
fueher,ember,,Q177257
fuehir,ember,,Q177257
fuer,ember,warningKONTEXT,Q177257
fuere,ember,,Q177257
fuermm als ein rechter pratenn,partridge mold,,Q107272868
fuerr,ember,warningKONTEXT,Q177257
fuher,ember,,Q177257
gabel,fork,,Q81881
garen,thread,,Q1391831
gefaeß,container,,Q987767
gelesen hafen,preserving jar,warningKONTEXT,Q56297888
geloechertz hoern,sausage stuffing tube,,Q107272840
geschier,container,,Q987767
geschieren,container,,Q987767
geschierrn,container,,Q987767
geschir,container,,Q987767
geschirr,container,,Q987767
geschirn,container,,Q987767
geschirre,container,,Q987767
geuaeezz,container,,Q987767
geuaeezzs,container,,Q987767
geuaezz,container,,Q987767
geueaez,container,,Q987767
gevaeez,container,,Q987767
gevaeezz,container,,Q987767
gevaesz,container,,Q987767
gevaezz,container,,Q987767
gevaezz daz oben ainen engen hals hab,pinch bottle,,Q543866
glaesel,drinking glass,,Q56369598
glais,preserving jar,warningKONTEXT,Q56297888
glaiszkolbenn,laboratory flask,,Q335201
glas,pinch bottle,,Q543866
glase,preserving jar,warningKONTEXT,Q56297888
glasen,preserving jar,warningKONTEXT,Q56297888
glasierten haffen,glazed ceramic,warningKONTEXT,Q3664976
glass,preserving jar,warningKONTEXT,Q56297888
glasz,pinch bottle,,Q543866
glaß,preserving jar,warningKONTEXT,Q56297888
glaz,pinch bottle,,Q543866
gleslin,drinking glass,,Q56369598
glesslin,drinking glass,,Q56369598
glud,ember,,Q177257
gludt,ember,,Q177257
glued,ember,,Q177257
gluedt,ember,,Q177257
glueed,ember,,Q177257
gluet,ember,,Q177257
gluetel,ember,,Q177257
glueth,ember,,Q177257
gluetlein,ember,,Q177257
gluetlen,ember,,Q177257
gluett,ember,,Q177257
gluettle,ember,,Q177257
gluettlein,ember,,Q177257
gluot,ember,,Q177257
gluott,ember,,Q177257
glut,ember,,Q177257
glutlein,ember,,Q177257
glutt,ember,,Q177257
goterhulffen,container,,Q987767
goterulffe,container,,Q987767
gschier,container,,Q987767
gschiren,container,,Q987767
guttern,container,,Q987767
hackh predt,cutting board,,Q617239
hack predt,cutting board,,Q617239
