deu-enh,eng,warning,Qid_detail
geprat von hechten,northern pike filet,,Q67773148
gepreat,sausage meat,warningKONTEXT,Q995566
gepreat von der hennen,chicken breast,,Q2607161
gepreatt,sausage meat,warningKONTEXT,Q995566
gepreatt von vischen,cut of fish,,Q67731470
geprenten wein,brandy,,Q146470
gepret von dem kalb,veal,,Q957434
gepret von der hennen,chicken breast,,Q2607161
geprett,cut of fish,warningKONTEXT,Q67731470
gepuluerten tzukcher,powdered sugar,,Q151070
geribens brot,breadcrumb,,Q54082577
geriben prot,breadcrumb,,Q54082577
geriben semel,breadcrumb,,Q54082577
geriben semelen,breadcrumb,,Q54082577
geribens prot,breadcrumb,,Q54082577
geribens prott,breadcrumb,,Q54082577
geriebens prott,breadcrumb,,Q54082577
gerben,brewer's yeast,,Q911712
germ,brewer's yeast,,Q911712
geroesten semelen,toast,,Q6128
geroesten semeln,toast,,Q6128
gerst,barley,,Q27660203
gerst chorner,barley,,Q27660203
gerstchoernell,barley,,Q27660203
gerste,barley,,Q27660203
gerstein,barley,,Q27660203
gersten,barley,,Q27660203
gerstenn,barley,,Q27660203
gerstkoerner,barley,,Q27660203
gerstwasser,barley water,,Q397762
gerten,fish bone,,Q11801583
gesalcenn,table salt,,Q11254
gesalczem,table salt,,Q11254
gesalczen,table salt,,Q11254
gesallczen,table salt,,Q11254
gesaltz,table salt,,Q11254
gesaltzen,table salt,,Q11254
gesaltzenn,table salt,,Q11254
gesaltzne,table salt,,Q11254
gesalzens waßer,saline water,,Q496805
geschmaltzten,lard,,Q72827
gestuep,spice,,Q42527
gestuepp,spice,,Q42527
gestuept,spice,,Q42527
gestuepp,spice,,Q42527
gestup,spice,,Q42527
gestupp,spice,,Q42527
gestüpp,spice,,Q42527
geuerhabt,sourdough,,Q904889
geuerhabten,sourdough,,Q904889
geuoegel,poultry,warningANIMAL,Q178559
geuoegell,poultry,warningANIMAL,Q178559
geurhabt,sourdough,,Q904889
geverbs,saffron,,Q25434
gew urtz,spice,,Q42527
gewaid,offal,,Q157484
gewasser,water,,Q283
gewirtz,spice,,Q42527
gewirz,spice,,Q42527
gewuerch,spice,,Q42527
gewuercz,spice,,Q42527
gewuerczen,spice,,Q42527
gewuerczit,spice,,Q42527
gewuercz salczen,sauce,,Q178359
gewuerczt,spice,,Q42527
gewuertz,spice,,Q42527
gewuertze,spice,,Q42527
gewuertzen,spice,,Q42527
gewuertzt,spice,,Q42527
gewuetz,spice,,Q42527
gewuirtz,spice,,Q42527
gewurcz,spice,,Q42527
gewürcz,spice,,Q42527
gewurczen,spice,,Q42527
gewürczen,spice,,Q42527
gewurcziten,spice,,Q42527
gewürczn,spice,,Q42527
gewurczs,spice,,Q42527
gewürczs,spice,,Q42527
gewurczt,spice,,Q42527
gewürczt,spice,,Q42527
gewurczten,spice,,Q42527
gewurtz,spice,,Q42527
gewürtz,spice,,Q42527
gewurtzen,spice,,Q42527
gewürtzen,spice,,Q42527
gewurtzet,spice,,Q42527
gewurtzt,spice,,Q42527
gewurz,spice,,Q42527
geyslitz,unsolved,,Q0
geys milch,goat milk,,Q1418287
gibb,saffron,warningKONTEXT,Q25434
gilb,saffron,,Q25434
gilbe,saffron,,Q25434
gilben,saffron,,Q25434
gilbenn,saffron,,Q25434
gilbest,saffron,,Q25434
gilbett,saffron,,Q25434
gilbs,saffron,,Q25434
gilbt,saffron,,Q25434
gilge,lily,,Q5194627
gingiber,ginger,,Q15046077
girstin meel,barley flour,,Q25323983
girstinn meel,barley flour,,Q25323983
glid,chicken part,,Q107262381
glidder der  huner,chicken part,,Q107262381
gloeczen,dried pear,,Q1774262
glöczen,dried pear,,Q1774262
gls,saffron,,Q25434
goelt,gold,,Q897
golande,lesser galangal,,Q27653540
gold,gold,,Q897
golde,gold,,Q897
golde farbe,gold,,Q897
goldes,gold,,Q897
golt,gold,,Q897
golt plat,gold,,Q897
goltfarbe,gold,,Q897
goriander,coriander,,Q20856764
grad,fish bone,,Q11801583
gradt,fish bone,,Q11801583
graet,fish bone,,Q11801583
graeten,fish bone,,Q11801583
graett,fish bone,,Q11801583
granat oepffel,pomegranate,,Q13222088
granatapfel,pomegranate,,Q13222088
granate,pomegranate,,Q13222088
granchenn,southernwood,,Q79106872
granorum paradisi,grain of paradise,,Q1503476
grat,fish bone,,Q11801583
grät,fish bone,,Q11801583
gratt,fish bone,,Q11801583
grätt,fish bone,,Q11801583
great,fish bone,,Q11801583
greatt,fish bone,,Q11801583
greatten,fish bone,,Q11801583
greaws,groat,,Q1436715
greawzz,groat,,Q1436715
greberswortz,unsolved,,Q0
grede,fish bone,,Q11801583
gredt,fish bone,,Q11801583
grens kraudt,herb,warningKONTEXT,Q207123
gret,fish bone,,Q11801583
grete,fish bone,,Q11801583
greten,fish bone,,Q11801583
greth,fish bone,,Q11801583
grett,fish bone,,Q11801583
greuesz,groat,,Q1436715
greus,offal,warningKONTEXT,Q157484
greüß,offal,,Q157484
greusz,groat,,Q1436715
grews,groat,,Q1436715
grewssen,crayfish,,Q210959
grewus,groat,,Q1436715
griebe,crackling,,Q28650565
grob oben von dem haubt daz chraewtaech,turnip green,,Q107263057
groecz,groat,,Q1436715
groene bletter,herb,warningKONTEXT,Q207123
groid,fish bone,,Q11801583
groit,fish bone,,Q11801583
groppen,common bullhead,,Q374092
gross pinz,cane,,Q158480
grueben,crackling,,Q28650565
grueeben,crackling,,Q28650565
gruendelen,common gudgeon,,Q4468
gruendell,common gudgeon,,Q4468
gruen farb,green food coloring,,Q107262070
gruene farbe,green food coloring,,Q107262070
grueene farb,green food coloring,,Q107262070
gruen varb,green food coloring,,Q107262070
gruenew farb,green food coloring,,Q107262070
gruenen saft,unsolved,,Q0
gruenew varib,green food coloring,,Q107262070
gruen varib,green food coloring,,Q107262070
gruenn varib,green food coloring,,Q107262070
gruenss chrawtt,herb,warningKONTEXT,Q207123
grun pon,broad bean,,Q61672189
grundel,common gudgeon,,Q4468
grundelnn,common gudgeon,,Q4468
grundelnn,common gudgeon,,Q4468
grundlen,common gudgeon,,Q4468
grune farbe,green food coloring,,Q107262070
grune varb,green food coloring,,Q107262070
grunem waicz der do noch in den eehern ist,freekeh,,Q771079
grunn pon,broad bean,,Q61672189
gruntlatich,borage,,Q147075
gruntletliche,borage,,Q147075
grunttelnn,common gudgeon,,Q4468
gruppem,groat,,Q1436715
gruppen,groat,,Q1436715
gryben,crackling,,Q28650565
gryes,groat,,Q1436715
guendreben,Glechoma hederacea,,Q162544
guldein,gold,,Q897
gulden,gold,,Q897
gummi,gum arabic,,Q535814
gunring,Glechoma hederacea,,Q162544
gwrczen,spice,,Q42527
gwucz,spice,,Q42527
gwuercz,spice,,Q42527
gwuerczten,spice,,Q42527
gwuertz,spice,,Q42527
gwuirtz,spice,,Q42527
gwurcz,spice,,Q42527
gwürcz,spice,,Q42527
gwurcze,spice,,Q42527
gwurczen,spice,,Q42527
gwurtz,spice,,Q42527
gwürtz,spice,,Q42527
haber,oats,,Q24265484
haber keren,oats,,Q24265484
haber kernn,oats,,Q24265484
haberchernn,oats,,Q24265484
habermues,oats,,Q24265484
habermüs,oats,,Q24265484
habern,oats,,Q24265484
habernn,oats,,Q24265484
habr,oats,,Q24265484
haeesinn flaisch,rabbit,,Q3556748
haelben,unsolved,,Q0
haels,neck,warningANIMAL,Q9633
haelslein,crayfish neck,warningANIMAL,Q96756338
haesell nues,hazelnut,,Q578307
haesen plateren,isinglass , ,Q1255331
haeupter,head,warningANIMAL,Q23640
haewt,chicken skin,warningANIMAL,Q28806146
haewßenn ploßenn,isinglass,,Q1255331
haidelber,bilberry,,Q5812410
haidnisch chol,spinach,,Q36814998
haidper,bilberry,,Q5812410
haiper,bilberry,,Q5812410
hain,chicken,,Q864693
haipier,bilberry,,Q5812410
halberen,unsolved,,Q0
halbern,unsolved,,Q0
halider,bilberry,,Q5812410
halls,neck,warningANIMAL,Q9633
halls,neck,warningANIMAL,Q9633
hals,neck,warningANIMAL,Q9633
hals suppen,neck stock,,Q107246651
halselein,crayfish neck,warningKONTEXT,Q96756338
halsß,chicken neck,warningANIMAL,Q107246468
halswasser,neck stock,,Q107246651
hamff,hemp,,Q27595243
hammen,pork haunch,,Q107246710
hammen von ainem prue vleisch,meat,,Q10990
hampf,hemp,,Q27595243
hanaff,hemp,,Q27595243
hanf,hemp,,Q27595243
hanff,hemp,,Q27595243
hanif,hemp,,Q27595243
haniff,hemp,,Q27595243
haniffmuss,hemp purée,,Q107246629
hanig,honey,,Q10987
hapt,fish head,warningANIMAL,Q5454629
har,hair,warningPOS,Q28472
hare,hair,warningPOS,Q28472
hardopffel,apple,,Q89
haring,salted herring,,Q153314
karten kes,pressed cheese,,Q1412674
harter kern,nut,,Q11009
hartz,plant sap,,Q909436
hartz von den pauemen,tree sap,,Q76626
harz,plant sap,,Q909436
harze,plant sap,,Q909436
hasel nues,hazelnut,,Q578307
hasel nuesß,hazelnut,,Q578307
hasel nüs,hazelnut,,Q578307
hasel nuss,hazelnut,,Q578307
hasel nuß,hazelnut,,Q578307
haselbaum,hazelnut,,Q578307
haselhuener,hazel grouse,,Q182761
haselhuenre,hazel grouse,,Q182761
haselhun,hazel grouse,,Q182761
haselhüner,hazel grouse,,Q182761
hasellnuesz,hazelnut,,Q578307
haseln nuesz,hazelnut,,Q578307
haselnuesß,hazelnut,,Q578307
haselnuesz,hazelnut,,Q578307
haselnuezz,hazelnut,,Q578307
haselnuos,hazelnut,,Q578307
haselnus,hazelnut,,Q578307
haselnuß,hazelnut,,Q578307
haselnüß,hazelnut,,Q578307
haselnusß,hazelnut,,Q578307
haselnuzzen,hazelnut,,Q578307
hasen,rabbit,,Q3556748
hasen blater,isinglass,,Q1255331
hasen leber,rabbit liver,,Q67883965
hasen nestel,strip of skin,warningANIMAL,Q107246758
hasenflaisch,rabbit,,Q3556748
hassel nus,hazelnut,,Q578307
hassel nuss,hazelnut,,Q578307
hasselnuesz,hazelnut,,Q578307
haßelnuß,hazelnut,,Q578307
hassen,rabbit,,Q3556748
hassen fueß,rabbit's foot,,Q1588406
hassenleber,rabbit liver,,Q67883965
hassen nestel,strip of skin,warningANIMAL,Q107246758
haubt,head,warningANIMAL,Q23640
haubt knoblach,garlic,,Q21546392
haubt von dem kalb,calf head,,Q1542282
haubt von den selben fisschen,fish head,,Q5454629
hauepp,head,warningANIMAL,Q23640
hauet,skin,warningANIMAL,Q1074
haueßenn,huso,,Q83363024
hauessen plattern,isinglass,,Q1255331
haüff,hemp,,Q27595243
haup des chalb,calf head,,Q1542282
haupp ,head,warningANIMAL,Q23640
haupp chnouleach,garlic,,Q21546392
haupp knouleach,garlic,,Q21546392
haupt,head,warningANIMAL,Q23640
haupt knobelauches,garlic,,Q21546392
haupte,eel head,,Q107261745
haupt stuk,head,warningANIMAL,Q23640
hauptt,head,warningANIMAL,Q23640
hausen,huso,,Q83363024
haußenblater,isinglass , ,Q1255331
haussenplater,isinglass , ,Q1255331
haussen plateren,isinglass , ,Q1255331
haußenblatern,isinglass , ,Q1255331
haußenblatter,isinglass , ,Q1255331
haußenblattern,isinglass , ,Q1255331
hausen nassen,isinglass,,Q1255331
hausen plasen,isinglass,,Q1255331
hausenplater,isinglass,,Q1255331
hausen plater,isinglass,,Q1255331
hausenplaterr pruee,isinglass broth,,Q107246632
hausenplater pruee,isinglass broth,,Q107246632
hausen plater pruee,isinglass broth,,Q107246632
hausen plateren,isinglass,,Q1255331
hausen platern,isinglass,,Q1255331
hausen platter,isinglass,,Q1255331
hausen platteren,isinglass,,Q1255331
hausen pleter,isinglass,,Q1255331
hausen ploeter,isinglass,,Q1255331
hausen ploter,isinglass,,Q1255331
hausn plosn,isinglass,,Q1255331
hausn ploter,isinglass,,Q1255331
hauß wurtz,houseleek,,Q161724
haussen,huso,,Q83363024
haussen plater,isinglass,,Q1255331
haussen platernn,isinglass,,Q1255331
haussen platter,isinglass,,Q1255331
haussenpleter,isinglass,,Q1255331
haußenploßenn,isinglass,,Q1255331
haußwurtz,houseleek,,Q161724
hausvogell,poultry,warningANIMAL,Q178559
hauswurz,houseleek,,Q161724
haut,skin,warningANIMAL,Q1074
haut von dem chalb,calf skin,,Q107246447
haut von dem kalb,calf skin,,Q107246447
hautt,skin,warningANIMAL,Q1074
hawbt,head,warningANIMAL,Q23640
hawdt,skin,warningANIMAL,Q1074
haweßenn plossenn,isinglass,,Q1255331
hawp,head,warningANIMAL,Q23640
hawpp ,head,warningANIMAL,Q23640
hawppt knoblach,garlic,,Q21546392
hawpt,head,warningANIMAL,Q23640
hawsen,huso,,Q83363024
hawsen plasen,isinglass,,Q1255331
hawsen plasen,isinglass,,Q1255331
hawsen plater,isinglass,,Q1255331
hawsenplater,isinglass,,Q1255331
hawsen platter,isinglass,,Q1255331
hawsen platteren,isinglass,,Q1255331
hawsen pleter,isinglass,,Q1255331
hawsenpleter ,isinglass,,Q1255331
hawsen ploter,isinglass,,Q1255331
hawsen plotter,isinglass,,Q1255331
hawsgans,goose,,Q83363022
hawssen,huso,,Q83363024
hawssen plasen,isinglass,,Q1255331
hawssen platter,isinglass,,Q1255331
hawssen platteren,isinglass,,Q1255331
hawssenpleter,isinglass,,Q1255331
hawssennpleter,isinglass,,Q1255331
hawssen pleter,isinglass,,Q1255331
hawssen pletter,isinglass,,Q1255331
hawt,skin,warningANIMAL,Q1074
hawtt,skin,warningANIMAL,Q1074
hawtt von dem chalb,calf skin,,Q107246447
haydnissch chol,spinach,,Q36814998
hayper,bilberry,,Q5812410
heacht praten,northern pike filet,,Q67773148
heawt,skin,warningANIMAL,Q1074
heawtt,skin,warningANIMAL,Q1074
hechcz,northern pike,,Q83363026
hechcz prot,northern pike filet,,Q67773148
hechde,northern pike,,Q83363026
hechde darmen,northern pike intestine,,Q107246655
hechden,northern pike,,Q83363026
hechdes,northern pike,,Q83363026
heche,northern pike,,Q83363026
hechen,northern pike,,Q83363026
hechede,northern pike,,Q83363026
hecheden,northern pike,,Q83363026
hecht,northern pike,,Q83363026
hecht braden,northern pike filet,,Q67773148
hecht haut,northern pike skin,,Q107246656
hechte,northern pike,,Q83363026
hechten,northern pike,,Q83363026
hechtenn,northern pike,,Q83363026
hechten magen,northern pike stomach,,Q107304840
hechten pradt,northern pike filet,,Q67773148
hechten praeten,northern pike filet,,Q67773148
hechten prat,northern pike filet,,Q67773148
hechten praten,northern pike filet,,Q67773148
hechten pratten,northern pike filet,,Q67773148
hechten protten,northern pike filet,,Q67773148
hechtes,northern pike,,Q83363026
hechtes prat,northern pike filet,,Q67773148
hechtpraten,northern pike filet,,Q67773148
hechts,northern pike,,Q83363026
hechtz,northern pike,,Q83363026
hechtz praet,northern pike filet,,Q67773148
heckten,northern pike,,Q83363026
heenn ,chicken,,Q864693
hefe,brewer's yeast,,Q911712
hefel,brewer's yeast,,Q911712
hefen,brewer's yeast,,Q911712
heff wein,wine,,Q282
heffel,brewer's yeast,,Q911712
heffen,brewer's yeast,,Q911712
heffen kiechlen taig,yeast dough,,Q1593684
hefflen,brewer's yeast,,Q911712
heidelber,bilberry,,Q5812410
heitber,bilberry,,Q5812410
hells,crayfish neck,warningANIMAL,Q96756338
hels,crayfish neck,warningANIMAL,Q96756338
helse,crayfish neck,warningANIMAL,Q96756338
helsel,crayfish neck,warningANIMAL,Q96756338
helslein,crayfish neck,warningANIMAL,Q96756338
helß,crayfish neck,warningANIMAL,Q96756338
helsslein,chicken neck,warningANIMAL,Q107246468
helsz,crayfish neck,warningANIMAL,Q96756338
hend,bear arm,warningANIMAL,Q0
fuess,bear leg,warningANIMAL,Q0
hengel,grapevine,,Q30046
henig,honey,,Q10987
henn,chicken,,Q864693
hennepraet,chicken breast,,Q2607161
henn prue,chicken stock,,Q96362076
henndlein,chicken,,Q864693
hennen,chicken,,Q864693
henn ay,chicken egg,,Q15260613
hennen ay,chicken egg,,Q15260613
hennen prue,chicken stock,,Q96362076
hennenn,chicken,,Q864693
henner,chicken,,Q864693
henner suppen,chicken broth,,Q1432535
henung sam,nectar,,Q171934
henyg,honey,,Q10987
hepf,hops,,Q3214940
herczen,heart,warningANIMAL,Q1072
hering,salted herring,,Q153314
herssen leber,deer liver,,Q96756392
herten churner,nut,warningKONTEXT,Q11009
herten kaes,pressed cheese,,Q1412674
herten kaesz,pressed cheese,,Q1412674
herten keas,pressed cheese,,Q1412674
herten kern,nut,warningKONTEXT,Q11009
herten kes,pressed cheese,,Q1412674
hertenn keren,nut,warningKONTEXT,Q11009
hertten cheas,pressed cheese,,Q1412674
hertten keas,pressed cheese,,Q1412674
hertz,heart,warningANIMAL,Q1072
herysen per,raspberry,,Q13179
heuet,skin,warningANIMAL,Q1074
heven,brewer's yeast,,Q911712
hewt,skin,warningANIMAL,Q1074
hewut,skin,warningANIMAL,Q1074
heydt,chicken skin,,Q28806146
hienerr,chicken,,Q864693
hieren,brain,warningANIMAL,Q719458
hiern,brain,warningANIMAL,Q719458
hiernn,brain,warningANIMAL,Q719458
hierns,brain,warningANIMAL,Q719458
hiers,common millet,warningKONTEXT,Q259438
hiers leber,deer liver,,Q96756392
hiersein,venison,warningKONTEXT,Q2296872
hiersen,venison,warningKONTEXT,Q2296872
hiersleber,deer liver,,Q96756392
hierß,common millet,warningKONTEXT,Q259438
hierß leber,deer liver,,Q96756392
hierssein,venison,warningKONTEXT,Q2296872
hierssen,venison,warningKONTEXT,Q2296872
hierssen leber,deer liver,,Q27632086
hinder darm,hindgut,warningANIMAL,Q5766006
hindern darm,hindgut,warningANIMAL,Q5766006
hinderen darm von eime kalbe,calf hindgut,,Q107246444
hinders diech von ainem kalb,calf round steak,warningANIMAL,
hiner,chicken,,Q864693
hinern,chicken,,Q864693
hinteren darmm von ainem chalb,calf hindgut,,Q107246444
hintertail von ainem saugenden kytcz,goat's trotters,,Q107246621
hirczleber,deer liver,,Q96756392
hirsz leber,deer liver,,Q96756392
hiren,brain,warningANIMAL,Q719458
hirenn,brain,warningANIMAL,Q719458
hirn,brain,warningANIMAL,Q719458
hirn von geuoegell,bird's brain,,Q107246434
hirne,brain,warningANIMAL,Q719458
hirnn,brain,warningANIMAL,Q719458
hirs,common millet,,Q259438
hirs horn,antler,,Q29838581
hirs lebern,deer liver,,Q96756392
hirsslein,venison,warningKONTEXT,Q2296872
hirschen,venison,warningKONTEXT,Q2296872
hirschleber,deer liver,,Q96756392
hirsch leber,deer liver,,Q96756392
hirschenn lumel,saddle of deer,,Q107246737
hirschwurz,white dittany,,Q157755
hirse,common millet,,Q259438
hirseim,venison,warningKONTEXT,Q2296872
hirsein,venison,warningKONTEXT,Q2296872
hirsein willdepraet,venison,warningKONTEXT,Q2296872
hirsen,venison,warningKONTEXT,Q2296872
hirsleber,deer liver,,Q96756392
hirslein,venison,warningKONTEXT,Q2296872
hirss,common millet,,Q259438
hirß,common millet,,Q259438
hirßcornn,antler,,Q29838581
hirssen,venison,warningKONTEXT,Q2296872
hirssen leber,deer liver,,Q96756392
hirssen lungelen,deer lung,,Q107246481
hirsß,venison,warningKONTEXT,Q2296872
hirsss lungel,deer lung,,Q107246481
hirsz,venison,warningKONTEXT,Q2296872
hirze leberen,deer liver,,Q96756392
hirszein,venison,warningKONTEXT,Q2296872
hirs leber,deer liver,,Q96756392
hirz lebern,deer liver,,Q96756392
hirzes lebern,deer liver,,Q96756392
hochten,northern pike,,Q83363026
hocht,northern pike,,Q83363026
hoecht,northern pike,,Q83363026
hoechten,northern pike,,Q83363026
hoelaer,elder flower,,Q67778134
hoelerpluee,elder flower,,Q67778134
hoelczepfellsaff,crab-apple juice,,Q107246473
hoener,chicken,,Q864693
hoener pruee,chicken stock,,Q96362076
hoeneren,chicken,,Q864693
hoenern,chicken,,Q864693
hoeng,honey,,Q10987
hoengk,honey,,Q10987
hoengs,honey,,Q10987
hoenick,honey,,Q10987
hoenig,honey,,Q10987
hoenig samen,nectar,,Q171934
hoenig tranck,mead,,Q184442
hoenig wuercz,spiced honey,,Q0
honig tranck,mead,,Q184442
hoenigk,honey,,Q10987
hoenikg,honey,,Q10987
hoenigs,honey,,Q10987
hoenigwasser,honey water,,Q107262143
hoenn den swaiss dauon,chicken blood,,Q107246464
hoenner,chicken,,Q864693
hoeppt,fish head,warningANIMAL,Q5454629
hoepte,chicken head,,Q107246466
hoeubt,cabbage,warningANIMAL,Q35051
hoffwein,wine,,Q282
holaer,elder flower,,Q67778134
holär,elder flower,,Q67778134
holbroeten,unsolved,,Q0
holcz appfel,crab-apple,,Q47161
holcz eppfell saff,crab-apple juice,,Q107246473
holcz öppfel,crab-apple,,Q47161
holczapfel,crab-apple,,Q47161
holczepfeln,crab-apple,,Q47161
holczeppfelnn,crab-apple,,Q47161
holder,elder flower,,Q67778134
holder bere,elder flower,,Q22701
holder bern beren,elder flower,,Q22701
holder berrienn beren,elder flower,,Q22701
holder bluomen,elder flower,,Q67778134
holder bluost,elder flower,,Q67778134
holder plüd,elder flower,,Q67778134
holderbere,elder flower,,Q22701
holderberen,elder flower,,Q22701
holderbluost,elder flower,,Q67778134
holderplust,elder flower,,Q67778134
holderplut,elder flower,,Q67778134
holderplüt,elder flower,,Q67778134
holderr,elder flower,,Q67778134
hole,elder flower,,Q67778134
holear plued,elder flower,,Q67778134
holer,elder flower,,Q67778134
holer plüed,elder flower,,Q67778134
holer pluee,elder flower,,Q67778134
holer plueed,elder flower,,Q67778134
holer plueet,elder flower,,Q67778134
holer plüet,elder flower,,Q67778134
hölerplüe,elder flower,,Q67778134
holerpluet,elder flower,,Q67778134
holerpluod,elder flower,,Q67778134
hollauch,chive,,Q51148
hollder,elder flower,,Q67778134
holler,elder flower,,Q67778134
holler plue,elder flower,,Q67778134
holler pluett,elder flower,,Q67778134
hollerplue,elder flower,,Q67778134
hollerpluet,elder flower,,Q67778134
holper,raspberry,,Q13179
holre,elder flower,,Q67778134
holtzapfel,crab-apple,,Q47161
holtzepfele,crab-apple,,Q47161
homig,honey,,Q10987
hon,chicken,,Q864693
honeg,honey,,Q10987
honegs,honey,,Q10987
höner,chicken,,Q864693
honeren,chicken,,Q864693
höneren,chicken,,Q864693
honig graeus,honey,,Q10987
honikg,honey,,Q10987
hong,honey,,Q10987
hongs,honey,,Q10987
hongy,honey,,Q10987
honic,honey,,Q10987
honich,honey,,Q10987
honick,honey,,Q10987
honicsaum,nectar,,Q171934
honicsaume,nectar,,Q171934
honif,hemp,,Q27595243
honig,honey,,Q10987
hönig,honey,,Q10987
honig sam,nectar,,Q171934
honig saym,nectar,,Q171934
honig waser,honey water,,Q107262143
honig wasser,honey water,,Q107262143
honig wein,mead,,Q184442
honig win,mead,,Q184442
honige,honey,,Q10987
honiges,honey,,Q10987
honighe,honey,,Q10987
honigk,honey,,Q10987
honigs,honey,,Q10987
hönigs,honey,,Q10987
honigsam,nectar,,Q171934
honigsaum,nectar,,Q171934
honigseym,nectar,,Q171934
honigz,honey,,Q10987
hönner,chicken,,Q864693
honnyg,honey,,Q10987
honnyg win,mead,,Q184442
honyg,honey,,Q10987
honyg wasser,honey water,,Q107262143
honyg win,mead,,Q184442
honyge,honey,,Q10987
honygk,honey,,Q10987
honygs,honey,,Q10987
hopf,hops,,Q3214940
hopfel,crayfish head,,Q107246476
hopfen,hops,,Q3214940
hopfen bluost,hops,,Q3214940
hopff,hops,,Q3214940
hopff wasser,hop water,,Q107262144
hopffendt,hops,,Q3214940
hoppfen pluot,hops,,Q3214940
hopphen,hops,,Q3214940
hopphen wasser,hop water,,Q107262144
horenn,antler,,Q29838581
horn,antler,,Q29838581
horns,antler,,Q29838581
horns swais,antler blood,,Q107246426
hors,hair,warningPOS,Q28472
hörschen pälz,raspberry,,Q13179
hoerschen poelz,raspberry,,Q13179
hosen nesel,roe-deer skin,,Q107246734
hosen nestel,roe-deer skin,,Q107246734
hosnestel,strip of skin,warningANIMAL,Q107246758
hosnestell,roe-deer skin,,Q107246734
hossel,unsolved,,Q0
houbt,chicken head,warningKONTEXT,Q107246466
houebt,fish head,warningANIMAL,Q5454629
houn,chicken,,Q864693
houpt,cabbage,warningANIMAL,Q35051
houpte,cabbage,warningANIMAL,Q35051
huczelen,dried pear,,Q1774262
huczelenn,dried pear,,Q1774262
hud,eel skin,warningANIMAL,Q96756057
hued,eel skin,warningANIMAL,Q96756057
hueen,chicken,,Q864693
hueenerenn,chicken,,Q864693
hueenn,chicken,,Q864693
hueens leber,chicken liver,,Q67210929
hueener,chicken,,Q864693
hueenr,chicken,,Q864693
hueern,chicken,,Q864693
hueett,skin,warningANIMAL,Q1074
huellsen,grape skin,warningKONTEXT,Q107263043
huelsen,grape,warningANIMAL,Q10978
huen,chicken,,Q864693
huendlein,chicken,,Q864693
huener,chicken,,Q864693
huener ayer,chicken egg,,Q15260613
huener brue,chicken stock,,Q96362076
huener bruehe,chicken stock,,Q96362076
huener brueste,chicken breast,,Q2607161
huener chroes,chicken offal,,Q107246469
huener chroess,chicken offal,,Q107246469
huener flaisch,chicken,,Q864693
huener fuesß,chicken feet,,Q41384
huener fuessen,chicken feet,,Q41384
huener fuesz,chicken leg,,Q7196561
huener geliddern,chicken part,,Q107262381
huener gepraet,chicken breast,,Q2607161
huener gepraett,chicken breast,,Q2607161
hwner kroes,chicken offal,,Q107246469
hwner,chicken,,Q864693
hwnrr prue,chicken stock,,Q96362076
huener leber,chicken liver,,Q67210929
huener maegen,chicken stomach,,Q67210992
huener pru,chicken stock,,Q96362076
huener prue,chicken stock,,Q96362076
huener pruee,chicken stock,,Q96362076
huener prust,chicken breast,,Q2607161
huener schwaiss,chicken blood,,Q107246464
huener smalcz,chicken fat,,Q5096296
huener sode,chicken stock,,Q96362076
huener suppnn,chicken stock,,Q96362076
huener swais,chicken blood,,Q107246464
huener vaizts,chicken fat,,Q5096296
huenerbrue,chicken stock,,Q96362076
hueneren,chicken,,Q864693
hueneren,chicken,,Q864693
hueneren,chicken,,Q864693
huenerenn,chicken,,Q864693
hueneres,chicken,,Q864693
huenerflaisch,chicken,,Q864693
huenerflaisch chlain gesnitten vnd czestozzen,chicken sausage meat,,Q107246470
huenergeliddern,chicken part,,Q107262381
huenergepraeett,chicken breast,,Q2607161
huenergepraet,chicken breast,,Q2607161
huenerlebern,chicken liver,,Q67210929
huenern,chicken,,Q864693
huenern an der bruest,chicken breast,,Q2607161
huenernn,chicken,,Q864693
huenerprue,chicken stock,,Q96362076
huenerprue von iungen huenern,chicken stock,,Q96362076
huenerr,chicken,,Q864693
huenerrn,chicken,,Q864693
huenerr sueppen,chicken stock,,Q96362076
huenersmalcz,chicken fat,,Q5096296
huenlein,chicken,,Q864693
huenn,chicken,,Q864693
huennen,chicken,,Q864693
huenner,chicken,,Q864693
huenner brue,chicken stock,,Q96362076
huenneren,chicken,,Q864693
huennern,chicken,,Q864693
huennernn,chicken,,Q864693
huennernn fuezzen,chicken leg,,Q7196561
huennr,chicken,,Q864693
huenns leber,chicken liver,,Q67210929
huenr,chicken,,Q864693
hüenr,chicken,,Q864693
huenre,chicken,,Q864693
huenre magen,chicken stomach,,Q67210992
huenren,chicken,,Q864693
huenr pruee,chicken stock,,Q96362076
huens leber,chicken liver,,Q67210929
huer,chicken,,Q864693
hueren,chicken,,Q864693
huern,chicken,,Q864693
huet,fish skin,warningANIMAL,Q107304884
huetzelen regels lewen ader wasser birnn auch ander gut brod birnn,dried pear,,Q1774262
hulder plumen,elder flower,,Q67778134
hulderblud,elder flower,,Q67778134
hun,chicken,,Q864693
hün,chicken,,Q864693
hundlen leberr,chicken liver,,Q67210929
hunds myncz,unsolved,,Q0
hune,chicken,,Q864693
huner,chicken,,Q864693
hüner,chicken,,Q864693
huner birn,pear,,Q13099586
huner bru,chicken stock,,Q96362076
huner flaisch,chicken,,Q864693
huner fuessen,chicken leg,warningPART,Q7196561
